trip_id,city,route_id,start_time,end_time,passengers,distance_km
1,Lima,R101,2026-05-29T18:39:00Z,2026-05-29T19:16:00Z,20,11.4
2,Lima,R101,2026-05-29T16:04:00Z,2026-05-29T16:51:00Z,7,-1.0
3,Arequipa,R303,2026-05-29T16:16:00Z,2026-05-29T16:37:00Z,40,9.5
4,Chiclayo,R502,2026-05-29T09:45:00Z,2026-05-29T10:33:00Z,42,12.8
5,Lima,R102,2026-05-29T17:54:00Z,2026-05-29T18:41:00Z,26,8.2
6,Arequipa,R302,2026-05-29T07:44:00Z,2026-05-29T08:09:00Z,29,14.2
7,Cusco,R203,2026-05-29T10:30:00Z,2026-05-29T11:41:00Z,7,18.2
8,Chiclayo,R501,2026-05-29T12:27:00Z,2026-05-29T12:52:00Z,40,9.3
9,Chiclayo,R502,2026-05-29T15:51:00Z,2026-05-29T16:23:00Z,50,12.8
10,Arequipa,R302,2026-05-29T07:21:00Z,2026-05-29T08:35:00Z,19,14.2
11,Trujillo,R402,2026-05-29T13:44:00Z,2026-05-29T14:44:00Z,58,8.7
12,Cusco,R202,2026-05-29T09:34:00Z,2026-05-29T10:36:00Z,22,10.5
13,Lima,R102,2026-05-29T15:06:00Z,2026-05-29T16:12:00Z,20,8.2
14,Trujillo,R402,2026-05-29T16:55:00Z,2026-05-29T17:59:00Z,40,8.7
15,Cusco,R201,2026-05-29T09:54:00Z,2026-05-29T11:06:00Z,7,15.3
16,Trujillo,R402,2026-05-29T07:07:00Z,2026-05-29T07:40:00Z,41,8.7
17,Cusco,R201,2026-05-29T17:11:00Z,2026-05-29T18:02:00Z,30,15.3
18,Trujillo,R401,2026-05-29T10:31:00Z,2026-05-29T10:59:00Z,20,11.0
19,Chiclayo,R502,2026-05-29T18:44:00Z,2026-05-29T19:41:00Z,32,12.8
20,Trujillo,R402,2026-05-29T09:44:00Z,2026-05-29T10:12:00Z,37,8.7
21,Lima,R101,2026-05-29T08:36:00Z,2026-05-29T09:36:00Z,15,11.4
22,Trujillo,R401,2026-05-29T12:34:00Z,2026-05-29T13:18:00Z,43,11.0
23,Chiclayo,R502,2026-05-29T15:26:00Z,2026-05-29T16:41:00Z,5,12.8
24,Lima,R103,2026-05-29T19:07:00Z,2026-05-29T20:08:00Z,26,15.3
25,Trujillo,R401,2026-05-29T13:44:00Z,2026-05-29T14:04:00Z,51,11.0
26,Cusco,R203,2026-05-29T19:00:00Z,2026-05-29T19:31:00Z,37,18.2
27,Cusco,R203,2026-05-29T14:39:00Z,2026-05-29T15:37:00Z,17,18.2
28,Arequipa,R303,2026-05-29T19:17:00Z,2026-05-29T20:10:00Z,5,9.5
29,Trujillo,R401,2026-05-29T07:54:00Z,2026-05-29T08:37:00Z,58,11.0
30,Arequipa,R301,2026-05-29T10:06:00Z,2026-05-29T11:02:00Z,10,12.1
31,Trujillo,R401,2026-05-29T18:58:00Z,2026-05-29T19:52:00Z,54,11.0
32,Trujillo,R401,2026-05-29T10:31:00Z,2026-05-29T11:24:00Z,60,11.0
33,Arequipa,R303,2026-05-29T18:53:00Z,2026-05-29T19:59:00Z,49,9.5
34,Cusco,R202,2026-05-29T17:27:00Z,2026-05-29T18:28:00Z,28,10.5
35,Chiclayo,R502,2026-05-29T08:03:00Z,2026-05-29T08:38:00Z,19,12.8
36,Lima,R102,2026-05-29T16:02:00Z,2026-05-29T16:36:00Z,5,8.2
37,Lima,R102,2026-05-29T07:09:00Z,2026-05-29T07:31:00Z,60,8.2
38,Chiclayo,R501,2026-05-29T10:45:00Z,2026-05-29T11:47:00Z,36,9.3
39,Arequipa,R303,2026-05-29T15:44:00Z,2026-05-29T16:40:00Z,35,9.5
40,Trujillo,R402,2026-05-29T09:14:00Z,2026-05-29T09:40:00Z,11,8.7
41,Cusco,R202,2026-05-29T13:00:00Z,2026-05-29T13:49:00Z,60,10.5
42,Lima,R101,2026-05-29T12:52:00Z,2026-05-29T13:58:00Z,26,11.4
43,Lima,R102,2026-05-29T09:16:00Z,2026-05-29T09:48:00Z,39,8.2
44,Trujillo,R401,2026-05-29T10:45:00Z,2026-05-29T11:34:00Z,20,11.0
45,Lima,R104,2026-05-29T19:47:00Z,2026-05-29T21:02:00Z,59,6.8
46,Lima,R101,2026-05-29T07:35:00Z,2026-05-29T08:43:00Z,59,11.4
47,Trujillo,R402,2026-05-29T14:12:00Z,2026-05-29T14:45:00Z,60,8.7
48,Lima,R102,2026-05-29T12:28:00Z,2026-05-29T12:48:00Z,29,8.2
49,Trujillo,R402,2026-05-29T13:13:00Z,2026-05-29T14:17:00Z,51,8.7
50,Chiclayo,R502,2026-05-29T08:38:00Z,2026-05-29T09:10:00Z,23,12.8
51,Lima,R101,2026-05-29T18:45:00Z,2026-05-29T19:25:00Z,8,11.4
52,Trujillo,R401,2026-05-29T06:58:00Z,2026-05-29T07:50:00Z,10,11.0
53,Lima,R101,2026-05-29T17:31:00Z,2026-05-29T18:46:00Z,20,11.4
54,Chiclayo,R501,2026-05-29T15:52:00Z,2026-05-29T16:50:00Z,7,9.3
55,Trujillo,R402,2026-05-29T10:27:00Z,2026-05-29T11:00:00Z,47,8.7
56,Arequipa,R302,2026-05-29T12:45:00Z,2026-05-29T13:13:00Z,47,14.2
57,Trujillo,R402,2026-05-29T18:49:00Z,2026-05-29T19:13:00Z,5,8.7
58,Chiclayo,R501,2026-05-29T07:15:00Z,2026-05-29T08:09:00Z,18,9.3
59,Arequipa,R302,2026-05-29T07:10:00Z,2026-05-29T07:45:00Z,28,14.2
60,Trujillo,R402,2026-05-29T16:26:00Z,2026-05-29T17:37:00Z,46,8.7
61,Chiclayo,R502,2026-05-29T17:19:00Z,2026-05-29T17:45:00Z,13,12.8
62,Lima,R102,2026-05-29T10:38:00Z,2026-05-29T11:16:00Z,43,8.2
63,Cusco,R201,2026-05-29T17:43:00Z,2026-05-29T18:43:00Z,59,15.3
64,Trujillo,R402,2026-05-29T06:52:00Z,2026-05-29T07:17:00Z,45,8.7
65,Cusco,R201,2026-05-29T06:03:00Z,2026-05-29T06:44:00Z,54,15.3
66,Cusco,R201,2026-05-29T18:39:00Z,2026-05-29T19:27:00Z,40,15.3
67,Chiclayo,R501,2026-05-29T07:54:00Z,2026-05-29T08:18:00Z,49,9.3
68,Chiclayo,R501,2026-05-29T12:18:00Z,2026-05-29T13:15:00Z,40,9.3
69,Arequipa,R301,2026-05-29T11:15:00Z,2026-05-29T11:58:00Z,55,12.1
70,Lima,R103,2026-05-29T09:35:00Z,2026-05-29T10:38:00Z,20,15.3
71,Cusco,R203,2026-05-29T12:56:00Z,2026-05-29T13:55:00Z,52,18.2
72,Arequipa,R301,2026-05-29T19:39:00Z,2026-05-29T20:50:00Z,16,12.1
73,Lima,R102,2026-05-29T18:34:00Z,2026-05-29T19:15:00Z,55,8.2
74,Arequipa,R302,2026-05-29T08:43:00Z,2026-05-29T09:53:00Z,49,14.2
75,Lima,R104,2026-05-29T09:47:00Z,2026-05-29T10:19:00Z,57,6.8
76,Cusco,R202,2026-05-29T20:00:00Z,2026-05-29T21:10:00Z,60,10.5
77,Lima,R102,2026-05-29T12:48:00Z,2026-05-29T13:29:00Z,22,8.2
78,Cusco,R202,2026-05-29T16:56:00Z,2026-05-29T17:48:00Z,30,10.5
79,Chiclayo,R502,2026-05-29T06:28:00Z,2026-05-29T06:55:00Z,21,12.8
80,Cusco,R201,2026-05-29T07:51:00Z,2026-05-29T08:49:00Z,32,15.3
81,Cusco,R202,2026-05-29T16:20:00Z,2026-05-29T17:12:00Z,12,10.5
82,Chiclayo,R501,2026-05-29T10:20:00Z,2026-05-29T10:42:00Z,50,9.3
83,Chiclayo,R501,2026-05-29T12:12:00Z,2026-05-29T12:59:00Z,9,9.3
84,Cusco,R203,2026-05-29T11:21:00Z,2026-05-29T12:23:00Z,59,18.2
85,Cusco,R203,2026-05-29T11:16:00Z,2026-05-29T12:18:00Z,31,18.2
86,Cusco,R203,2026-05-29T08:10:00Z,2026-05-29T08:42:00Z,31,18.2
87,Trujillo,R401,2026-05-29T16:30:00Z,2026-05-29T17:26:00Z,24,11.0
88,Lima,R103,2026-05-29T10:53:00Z,2026-05-29T11:26:00Z,32,15.3
89,Chiclayo,R502,2026-05-29T13:56:00Z,2026-05-29T14:44:00Z,33,12.8
90,Chiclayo,R502,2026-05-29T19:32:00Z,2026-05-29T20:42:00Z,52,12.8
91,Lima,R103,2026-05-29T14:47:00Z,2026-05-29T15:49:00Z,45,15.3
92,Lima,R102,2026-05-29T17:28:00Z,2026-05-29T18:07:00Z,19,8.2
93,Arequipa,R301,2026-05-29T06:47:00Z,2026-05-29T07:22:00Z,35,12.1
94,Lima,R104,2026-05-29T13:04:00Z,2026-05-29T14:04:00Z,41,6.8
95,Trujillo,R402,2026-05-29T12:49:00Z,2026-05-29T13:24:00Z,14,8.7
96,Lima,R101,2026-05-29T19:17:00Z,2026-05-29T20:04:00Z,19,11.4
97,Chiclayo,R502,2026-05-29T06:51:00Z,2026-05-29T07:46:00Z,20,12.8
98,Lima,R104,2026-05-29T08:16:00Z,2026-05-29T09:27:00Z,34,6.8
99,Chiclayo,R502,2026-05-29T18:53:00Z,2026-05-29T19:41:00Z,44,12.8
100,Chiclayo,R502,2026-05-29T15:21:00Z,2026-05-29T16:09:00Z,15,12.8
101,Trujillo,R402,2026-05-29T10:25:00Z,2026-05-29T11:33:00Z,20,8.7
102,Cusco,R203,2026-05-29T14:16:00Z,2026-05-29T15:16:00Z,20,18.2
103,Lima,R103,2026-05-29T10:00:00Z,2026-05-29T10:37:00Z,26,15.3
104,Chiclayo,R501,2026-05-29T08:21:00Z,2026-05-29T08:50:00Z,19,9.3
105,Arequipa,R303,2026-05-29T09:39:00Z,2026-05-29T10:03:00Z,31,9.5
